French,English
partie,part
histoire,history
chercher,search
mois,month
frère,brother
mettre,to put
laisse,leash
parlé,speak
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
compris,understood
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
tiens,here
matin,morning
tellement,so much
pardon,sorry
devant,in front of
demandé,request
chambre,bedroom
belle,beautiful
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
croire,believe
gros,large
jouer,to play
